WeatherPy_Database,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
351,Telimele,GN,10.9167,-13.3333,76.15,23,100,2.71,Clouds
352,Miyako,JP,39.6367,141.9525,34.77,68,17,5.23,Clouds
353,Yantal,RU,56.8471,105.2542,-24.18,99,24,1.36,Clouds
354,Odweyne,SO,9.4092,45.064,82.44,36,18,11.48,Clouds
355,San Antonio,US,29.4241,-98.4936,53.33,84,0,4.61,Clear
356,Madikeri,IN,12.4167,75.7333,80.51,26,11,4.5,Clouds
357,Mapiri,BO,-15.25,-68.1667,65.16,95,98,1.72,Clouds
358,Primero De Marzo,PY,-25.153,-56.928,69.69,56,29,3.78,Clouds
359,Christchurch,NZ,-43.5333,172.6333,57.4,65,1,11.5,Clear
360,Lisala,CD,2.15,21.5167,94.26,27,50,2.59,Clouds
361,Tuntum,BR,-5.2581,-44.6489,70.97,98,16,1.43,Clouds
362,Kyaikkami,MM,16.08,97.5675,80.46,55,2,7.65,Clear
363,Souillac,MU,-20.5167,57.5167,86.38,54,40,11.5,Rain
364,Meadow Lake,US,34.8014,-106.5436,39.87,81,47,5.01,Clouds
365,Kulhudhuffushi,MV,6.6221,73.07,80.53,69,85,8.52,Clouds
366,Talnakh,RU,69.4865,88.3972,-20.76,89,42,6.24,Clouds
367,Kushima,JP,31.4583,131.2333,46.42,65,0,11.41,Clear
368,Mitsamiouli,KM,-11.3847,43.2844,86.29,66,40,8.05,Clouds
369,Fukue,JP,32.6881,128.8419,44.96,57,20,11.5,Clouds
370,Grahamstown,ZA,-33.3042,26.5328,66.96,45,0,7.81,Clear
371,Mayor Pablo Lagerenza,PY,-19.9309,-60.7718,73.81,73,70,4.36,Clouds
372,Beachwood,US,41.4645,-81.5087,51.33,92,100,4.61,Mist
373,Ambilobe,MG,-13.2,49.05,91.09,47,73,0.83,Clouds
374,Beloha,MG,-25.1667,45.05,90.32,40,3,10.4,Clear
375,Ambon,ID,-3.6954,128.1814,80.74,78,40,5.75,Clouds
376,Bull Savanna,JM,17.8868,-77.5902,69.1,81,0,5.64,Clear
377,Jacmel,HT,18.2342,-72.5347,73.24,77,0,5.68,Clear
378,Byron Bay,AU,-28.65,153.6167,72.95,83,8,7.02,Clear
379,Camocim,BR,-2.9022,-40.8411,76.03,83,23,9.91,Clouds
380,Ojinaga,MX,29.5667,-104.4167,51.37,56,0,2.19,Clear
